country,pais_corrigido,codigo_WB
Afeganistão,Afeganistão,AFG
África do Sul,África do Sul,ZAF
"Alemanha, República Democrática","Alemanha, República Democrática",DEU
Angola,Angola,AGO
Anguilla,Anguilla,AIA
Antígua e Barbuda,Antígua e Barbuda,ATG
Antilhas Holandesas,Antilhas Holandesas,ANT
Arábia Saudita,Arábia Saudita,SAU
Argélia,Argélia,DZA
Argentina,Argentina,ARG
Aruba,Aruba,ABW
Austrália,Austrália,AUS
Áustria,Áustria,AUT
Bahamas,Bahamas,BHS
Bangladesh,Bangladesh,BGD
Barbados,Barbados,BRB
Barein,Barein,BHR
Bélgica,Bélgica,BEL
Belice,Belice,BLZ
Benin,Benin,BEN
Bermudas,Bermudas,BMU
Bolívia,Bolívia,BOL
Bósnia-Herzegovina,Bósnia-Herzegovina,BIH
Brasil,Brasil,BRA
Bulgária,Bulgária,BGR
Cabo Verde,Cabo Verde,CPV
Camarões,Camarões,CMR
Canadá,Canadá,CAN
Catar,Catar,QAT
"Cayman, Ilhas","Cayman, Ilhas",CYM
Chile,Chile,CHL
China,China,CHN
Chipre,Chipre,CYP
Cingapura,Cingapura,SGP
Colômbia,Colômbia,COL
Comores,Comores,COM
Congo,Congo,COG
"Coreia, Republica Sul","Coreia, Republica Sul",KOR
Costa do Marfim,Costa do Marfim,CIV
Costa Rica,Costa Rica,CRI
Kuwait,Kuwait,KWT
Croácia,Croácia,HRV
Cuba,Cuba,CUB
Dinamarca,Dinamarca,DNK
Dominica,Dominica,DMA
El Salvador,El Salvador,SLV
Emirados Arabes Unidos,Emirados Arabes Unidos,ARE
Equador,Equador,ECU
"Eslovaca, Republica","Eslovaca, Republica",SVK
Espanha,Espanha,ESP
Estados Unidos,Estados Unidos,USA
Estônia,Estônia,EST
Filipinas,Filipinas,PHL
Finlândia,Finlândia,FIN
França,França,FRA
Gabão,Gabão,GAB
Gana,Gana,GHA
Granada,Granada,GRD
Grécia,Grécia,GRC
Guatemala,Guatemala,GTM
Guiana,Guiana,GUY
Guine Bissau,Guine Bissau,GNB
Guine Equatorial,Guine Equatorial,GNQ
Haiti,Haiti,HTI
Honduras,Honduras,HND
Hong Kong,Hong Kong,HKG
Hungria,Hungria,HUN
Índia,Índia,IND
Indonésia,Indonésia,IDN
Irã,Irã,IRN
Iraque,Iraque,IRQ
Irlanda,Irlanda,IRL
Itália,Itália,ITA
Jamaica,Jamaica,JAM
Japão,Japão,JPN
Jordânia,Jordânia,JOR
Letônia,Letônia,LVA
Líbano,Líbano,LBN
Libéria,Libéria,LBR
Luxemburgo,Luxemburgo,LUX
Malásia,Malásia,MYS
Malavi,Malavi,MWI
Malta,Malta,MLT
Mauritânia,Mauritânia,MRT
México,México,MEX
Moçambique,Moçambique,MOZ
Montenegro,Montenegro,MNE
Namíbia,Namíbia,NAM
Nicarágua,Nicarágua,NIC
Nigéria,Nigéria,NGA
Noruega,Noruega,NOR
Nova Zelândia,Nova Zelândia,NZL
Omã,Omã,OMN
Países Baixos,Países Baixos,NLD
Palau,Palau,PLW
Panamá,Panamá,PAN
Paraguai,Paraguai,PRY
Peru,Peru,PER
Polônia,Polônia,POL
Porto Rico,Porto Rico,PRI
Portugal,Portugal,PRT
Quênia,Quênia,KEN
Reino Unido,Reino Unido,GBR
República Dominicana,República Dominicana,DOM
"Rússia, Federação","Rússia, Federação da",RUS
São Cristóvão e Névis,São Cristóvão e Névis,KNA
São Tomé e Príncipe,São Tomé e Príncipe,STP
São Vicente e Granadinas,São Vicente e Granadinas,VCT
Senegal,Senegal,SEN
Serra Leoa,Serra Leoa,SLE
Sérvia,Sérvia,SRB
Singapura,Singapura,SGP
Suazilândia,Suazilândia,SWZ
Suécia,Suécia,SWE
Suíça,Suíça,CHE
Suriname,Suriname,SUR
Tailândia,Tailândia,THA
Taiwan (Formosa),Taiwan (Formosa),TWN
Tanzânia,Tanzânia,TZA
"Tcheca, República","Tcheca, República",CZE
Togo,Togo,TGO
Tunísia,Tunísia,TUN
Turquia,Turquia,TUR
Tuvalu,Tuvalu,TUV
Uruguai,Uruguai,URY
Vanuatu,Vanuatu,VUT
Venezuela,Venezuela,VEN
Vietnã,Vietnã,VNM
Antigua e Barbuda,Antigua e Barbuda,ATG
Australia,Australia,AUS
Belgica,Belgica,BEL
Bulgaria,Bulgaria,BGR
Canada,Canada,CAN
Colombia,Colômbia,COL
"Coreia do Sul, Republica da","Korea, República",KOR
Djibuti,Djibuti,DJI
Estonia,Estonia,EST
Filânldia,Filânldia,FIN
Guiné Equatorial,Guiné Equatorial,GNQ
Guiné-Bissau,Guiné-Bissau,GNB
Islândia,Islândia,ISL
Maldivas,Maldivas,MDV
Marrocos,Marrocos,MAR
Países Baixos (Holanda),Países Baixos (Holanda),NLD
Republica Dominicana,Republica Dominicana,DOM
Republica Tcheca,Republica Tcheca,CZE
Trinidade e Tobago,Trinidade e Tobago,TTO
Africa do Sul,Africa do Sul,ZAF
Arabia Saudita,Arabia Saudita,SAU
Bahrein,Bahrein,BHR
Belize,Belize,BLZ
Bósnia,Bósnia,BIH
 

