Pais;pais_corrigido
Aruba;Aruba
Afeganistao;Afeganistao
Angola;Angola
Emirados Arabes Unidos;Emirados Arabes Unidos
Argentina;Argentina
Antigua e Barbuda;Antigua e Barbuda
Australia;Australia
Austria;Austria
Belgica;Belgica
Benin;Benin
Bangladesh;Bangladesh
Bulgaria;Bulgaria
Bahrein;Bahrein
Barein;Bahrein
Bahamas;Bahamas
Bosnia-Herzegovina;Bosnia-Herzegovina
Belice;Belize
Belize;Belize
Bermudas;Bermudas
Bolivia;Bolivia
Brasil;Brasil
Barbados;Barbados
Canada;Canada
Camores;Comores
Suica;Suica
Chile;Chile
China;China
Costa do Marfim;Costa do Marfim
Camaroes;Camaroes
Congo;Congo
Colombia;Colombia
Comores;Comores
Cabo Verde;Cabo Verde
Costa Rica;Costa Rica
Cuba;Cuba
Cayman, Ilhas;Cayman, Ilhas
Chipre;Chipre
Republica Tcheca;Republica Tcheca
 Tcheca, Republica;Republica Tcheca
"Alemanha, Republica Democratica";"Alemanha, Republica Democratica da"
Alemanha;"Alemanha, Republica Democratica da"
Djibuti;Djibuti
'Dominica, Ilha de'; 'Dominica'
Dominica;Dominica
Dinamarca;Dinamarca
Republica Dominicana;Republica Dominicana
Argelia;Argelia
Equador;Equador
Espanha;Espanha
Estonia;Estonia
Finlandia;Finlandia
Franca;Franca
Gabao;Gabao
Reino Unido;Reino Unido
Gana;Gana
Guine Bissau;Guine-Bissau
Guine-Bissau;Guine-Bissau
Guine Equatorial;Guine Equatorial
Grecia;Grecia
Granada;Granada
Guatemala;Guatemala
Guiana;Guiana
Hong Kong;Hong Kong
Honduras;Honduras
Croacia;Croacia
Haiti;Haiti
Hungria;Hungria
Indonesia;Indonesia
India;India
Irlanda;Irlanda
Ira;Ira
Iraque;Iraque
Islandia;Islandia
Italia;Italia
Jamaica;Jamaica
Jordania;Jordania
Japao;Japao
Quenia;Quenia
Sao Cristovao e Nevis;Sao Cristovao e Nevis
"Coreia do Sul, Republica d'";"Coreia do Sul, Republica da"
"Coreia do Sul", "Coreia do Sul, Republica da"
"Coreia, Republica Sul";"Coreia do Sul, Republica da"
Coveite (Kuweit);Kuwait
Coveite;Kuwait
Libano;Libano
Liberia;Liberia
Luxemburgo;Luxemburgo
Letonia;Letonia
Marrocos;Marrocos
Maldivas;Maldivas
Mexico;Mexico
Malta;Malta
Montenegro;Montenegro
Mocambique;Mocambique
Mauritania;Mauritania
Malavi;Malavi
Malasia;Malasia
Namibia;Namibia
Nigeria;Nigeria
Nicaragua;Nicaragua
Paises Baixos;Paises Baixos
Noruega;Noruega
Nova Zelandia;Nova Zelandia
Oma;Oma
Panama;Panama
Peru;Peru
Filipinas;Filipinas
Palau;Palau
Polonia;Polonia
Porto Rico;Porto Rico
Portugal;Portugal
Paraguai;Paraguai
Catar;Catar
"Russia, Federacao da";"Russia, Federacao da"
Russia;"Russia, Federacao da"
"Republica Federativa da Russia";"Russia, Federacao da"
Arabia Saudita;Arabia Saudita
Senegal;Senegal
Singapura / Cingapura;Singapura
Cingapura;Singapura
Serra Leoa;Serra Leoa
El Salvador;El Salvador
Servia;Servia
Sao Tome e Principe;Sao Tome e Principe
Suriname;Suriname
Eslovaca, Republica;Eslovaca, Republica
Suecia;Suecia
Suazilandia;Suazilandia
Togo;Togo
Tailandia;Tailandia
Trinidade Tobago;Trinidade e Tobago
Trindade e Tobago;Trinidade e Tobago
Tunisia;Tunisia
Turquia;Turquia
Tuvalu;Tuvalu
Tanzania;Tanzania
Uruguai;Uruguai
Estados Unidos;Estados Unidos
Sao Vicente e Granadinas;Sao Vicente e Granadinas
Venezuela;Venezuela
Vietna;Vietna
Vanuatu;Vanuatu
Africa do Sul;Africa do Sul
Paises Baixos;Paises Baixos
"Paises Baixos (Holanda)"; Paises Baixos
Taiwan;Taiwan
"Taiwan (Formosa)";"Taiwan"
