pais,media_PIB_total_(dolar_corrente),media_população_total,media_PIB_per_capita,media_taxa_crescimento_PIB,media_taxa_inflação_(CPI),media_expectativa_vida,media_taxa_alfabetização,media_exportacao_abs,media_importacao_abs,media_IDH_estimado,soma_qtde_kg,soma_valor_dolar_ajustado,vl_distinto_produto_texto,vl_distinto_ano
 Paises Baixos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28229,197186.37283846762,1,14
Afeganistao,14259995441.0759,40000412.0,356.496214115892,-20.7388393676343,5.13320340824963,60.417,37.0,204519033508.0916,528611807613.40265,0.353505255661629,11,53.25199837620401,1,1
Africa do Sul,341666231978.6232,57384752.75,5882.428331596271,-0.00440712356388238,5.738670405605728,63.923333333333325,90.91666666666667,9837625217878.107,9463701244749.088,0.7187272407725857,72627,165407.04434229576,4,8
"Alemanha, Republica Democratica da",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45215666,122019938.628661,4,52
Angola,45152025365.60105,20028016.0990991,1890.3645612192397,3.664757303665065,186.14988945651376,51.780882882882885,77.94603309975014,2150125223852.0342,1504712266928.68,0.29764588361760447,7109031,20451218.23488177,4,41
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454,521.6728370772078,1,2
Antigua e Barbuda,1704765319.8653197,92105.54545454546,18499.70334262521,1.82537432040615,2.974025974755807,77.283,99.0,92795824915.82486,103528249158.24913,0.8443632001667418,4481,18178.223548278354,4,6
Antilhas Holandesas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197279,534237.5225045573,3,28
Arabia Saudita,368966340027.949,18701025.675675675,16817.589052030293,2.3404652914211326,1.554167902933346,72.70359459459459,85.86486486486487,15088012784299.107,10587387562537.781,0.6070681058976833,2337904,7494042.706493584,3,35
Argelia,165385195326.92102,39373106.333333336,4129.18465998398,2.73333333333331,3.307475658654287,74.64866666666667,77.605224609375,4621312095195.224,4564830675413.308,0.7016806890565782,20697,38752.90573241875,2,2
Argentina,335997958910.6676,38741626.55913979,8298.169558552385,2.15888662710101,0.0,74.14186021505377,96.36559139784946,4848239635607.142,4573344294392.449,0.7693589382057614,50309317,106357105.30604745,4,43
Aruba,2506679283.046789,101463.55555555556,24604.08512097331,-4.073428686255223,2.548150271042456,74.35355555555556,97.10999976264105,166074191574.5173,189994033892.19742,0.8693818358142085,25461,33053.94493826346,3,9
Australia,1095129273018.861,22369049.1372549,46372.480973311525,2.9852650608310265,3.226919080247401,81.10645624103302,95.0,23950893662113.24,23005903582874.234,0.0,673305,1885178.6527890367,3,31
Austria,195182087475.3418,7918535.5,23547.475451494927,2.458936361522658,3.199375790047007,76.34407665505228,95.0,9182061121392.406,8999454511384.762,0.0,12625,40189.88849844101,3,11
Bahamas,11537470000.0,385783.3823529412,29706.58439587195,1.2435040006331908,2.494384595811172,73.14097058823529,95.0,409198852941.1763,481464823529.4118,0.0,82197,306640.2444824347,4,12
Bahrein,39776387070.37642,1455111.923076923,26815.21009963694,2.556741234146057,0.8362575462449247,79.68584615384617,94.0846170278696,3326775777414.075,2687559328968.903,0.8972463582646467,18128,47628.12933668643,3,7
Bangladesh,425199955726.7319,168666128.1,2519.7742345683264,6.056178354313477,7.087698160901955,72.829,75.8,5041946591185.827,7758720150861.987,0.6601585102296693,664,1692.5392844961139,4,4
Barbados,2742316209.502821,263568.2545454545,9976.369909836194,2.1419994145947436,8.776513108480504,73.40665454545454,99.34545454545454,0.0,0.0,0.711862016931059,131205,556354.6403403607,4,26
Belgica,383813138046.65015,10720162.337349398,34975.871631193084,1.869304449004501,3.034588694445636,78.74779312371437,95.0,29762143856672.99,29330972034801.074,0.0,14568001,44949300.05631209,4,49
